,IJH,VBK,IWO,VTWO
2025-12-12,100.79824031407574,99.3535042045223,100.15140681158097,98.47517855471511
2025-12-15,100.63971225188821,99.76462621651552,98.08278689229559,99.74757011613761
2025-12-16,101.673048879936,96.99063913543185,97.33378416263417,97.98653203241035
2025-12-17,104.07457502125035,94.56058144580723,97.54462681829627,98.3431600028123
2025-12-18,103.76154282454269,93.81327679587376,95.92293230601986,95.54219124370258
2025-12-19,103.4494776322697,92.44500460140547,96.51327376522985,93.70440054343547
2025-12-22,105.98224148758636,92.92824468750447,95.69547082228175,94.0285134508772
2025-12-23,107.26292548381875,91.71695620520214,95.32532968375274,95.12340699065962
2025-12-24,106.56348939598253,89.83931773631416,94.51607870732303,95.41593459221924
2025-12-25,107.48801497447921,91.8822115695648,97.22755294846547,95.29819492826105
2025-12-26,106.7968132236154,91.617362734346,97.25648649720088,94.91619212686251
